Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 20,Volume ,,Open-Change,Open-High-Highest,Open-Low-Lowest
6/18/2012 0:00,150,152.5,126.2,126.4,38.39653,-189.5408,1780400,,(1.19),,
6/19/2012 0:00,117.5,124.6,116,120.9,37.43974,-201.8064,1725100,,(7.04),,-1.28
6/20/2012 0:00,120.9,130,110.5,110.5,35.63167,-176.8747,2630700,,0.00 ,,
6/21/2012 0:00,111,134.7,108.2,134.3,42.47781,-131.8117,2084200,,0.45 ,,
6/22/2012 0:00,125,129.4,105.3,106.9,37.52902,-139.4804,2144700,,(6.92),,-15.76
6/25/2012 0:00,123.9,129,121.8,126,42.55326,-97.76209,1741500,,15.90 ,4.12,
6/26/2012 0:00,119,128.9,115.8,118.7,41.18975,-94.98349,1821500,,(5.56),,-2.69
6/27/2012 0:00,115.6,121.1,112,120.8,41.76781,-90.82688,1501500,,(2.61),,
6/28/2012 0:00,123.7,127.8,113,113.6,40.30505,-81.39575,2028700,,2.40 ,,
6/29/2012 0:00,100.5,103.5,97.6,98.4,37.33261,-109.6337,1794700,,(11.53),,-2.89
7/2/2012 0:00,94.6,96.4,85.2,85.5,34.97515,-123.8812,1745700,,(3.86),,
7/3/2012 0:00,84.3,84.4,79,81.6,34.27057,-133.0847,940600,,(1.40),,
7/5/2012 0:00,82.6,89.3,82.6,87.4,36.32501,-113.7755,1560600,,1.23 ,,
7/6/2012 0:00,92.3,92.6,85.1,85.8,35.99081,-103.3829,1696600,,5.61 ,0.33,
7/9/2012 0:00,84.5,88.5,82.2,83.8,35.55052,-104.1992,1182000,,(1.52),,
7/10/2012 0:00,81.5,91.8,79,88.6,37.52586,-94.11266,2359700,,(2.74),,
7/11/2012 0:00,88.2,91.1,81.2,82.6,36.03894,-90.59515,2038000,,(0.45),,
7/12/2012 0:00,87.2,90.7,80.4,84.2,36.75857,-81.25467,2343900,,5.57 ,4.01,
7/13/2012 0:00,82.1,82.1,75,75.1,34.38873,-97.51449,1849800,,(2.49),,
7/16/2012 0:00,74.5,76.1,71.3,73,33.84643,-103.8705,1137200,,(0.80),,
7/17/2012 0:00,70.6,74.6,66.6,67.4,32.38004,-109.7819,2088400,,(3.29),,
