Date,Open,High,Low,Close,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
4/25/2019 10:30:00 AM,189.86,190.05,189.45,190.03,190.1768,47.72364,-114.4746
4/25/2019 10:45:00 AM,190.02,190.27,189.74,190.23,190.1946,50.67951,-32.26059
4/25/2019 11:00:00 AM,190.23,190.52,190.19,190.48,190.2086,54.16809,62.64105
4/25/2019 11:15:00 AM,190.48,190.58,190.23,190.39,190.2208,52.72236,53.31667
4/25/2019 11:30:00 AM,190.39,190.81,190.08,190.71,190.2352,57.10622,77.48106
4/25/2019 11:45:00 AM,190.72,190.97,190.64,190.93,190.2502,59.8616,129.5442
4/25/2019 12:00:00 PM,190.94,190.99,190.82,190.83,190.2654,58.0367,112.6255
4/25/2019 12:15:00 PM,190.83,190.94,190.61,190.65,190.2754,54.79799,70.27019
4/25/2019 12:30:00 PM,190.65,190.77,190.51,190.51,190.282,52.3511,34.72418
4/25/2019 12:45:00 PM,190.51,190.7,190.51,190.58,190.2888,53.46999,28.54885
4/25/2019 1:00:00 PM,190.58,190.7,190.53,190.63,190.2982,54.29551,25.5564
4/25/2019 1:15:00 PM,190.63,190.66,190.53,190.53,190.3052,52.29709,16.99637
4/25/2019 1:30:00 PM,190.53,190.63,190.45,190.63,190.3142,54.11583,23.49529
4/25/2019 1:45:00 PM,190.63,190.74,190.59,190.68,190.323,55.03859,49.37535
4/25/2019 2:00:00 PM,190.67,190.75,190.55,190.7,190.3318,55.42492,41.26034
4/25/2019 2:15:00 PM,190.7,190.98,190.7,190.97,190.3438,60.37409,135.3821
4/25/2019 2:30:00 PM,190.97,190.98,190.77,190.84,190.3526,57.08743,105.5843
4/25/2019 2:45:00 PM,190.83,190.9,190.77,190.8,190.359,56.0761,69.09521
4/25/2019 3:00:00 PM,190.8,190.91,190.78,190.91,190.3702,58.26606,80.80373
4/25/2019 3:15:00 PM,190.9,190.92,190.59,190.61,190.3804,50.82362,-7.035778
4/25/2019 3:30:00 PM,190.61,190.77,190.6,190.7,190.3882,52.77247,-10.23898
4/25/2019 3:45:00 PM,190.72,190.83,190.61,190.82,190.4012,55.31553,33.55141
4/25/2019 4:00:00 PM,190.81,190.86,190.4,190.41,190.4056,46.16883,-100.3911
4/26/2019 9:45:00 AM,190.2,190.24,189.01,189.28,190.384,30.96939,-401.5257
4/26/2019 10:00:00 AM,189.27,189.48,188.74,188.94,190.3546,27.98421,-276.5913
4/26/2019 10:15:00 AM,188.95,189.33,188.59,189.22,190.3342,33.65583,-175.8466
4/26/2019 10:30:00 AM,189.22,189.59,189.22,189.52,190.3122,39.18248,-96.86389
4/26/2019 10:45:00 AM,189.52,189.63,189.32,189.49,190.2888,38.83412,-75.97736
4/26/2019 11:00:00 AM,189.5,189.72,189.42,189.62,190.2712,41.27074,-55.3261
4/26/2019 11:15:00 AM,189.62,189.92,189.46,189.89,190.2586,46.0759,-32.27942
4/26/2019 11:30:00 AM,189.88,190.01,189.82,189.97,190.254,47.44791,-8.821389
4/26/2019 11:45:00 AM,189.98,190.07,189.91,190.05,190.2526,48.84946,6.477223
4/26/2019 12:00:00 PM,190.05,190.09,189.76,189.83,190.2454,45.27365,0.8651707
4/26/2019 12:15:00 PM,189.82,190.01,189.77,189.99,190.244,48.24114,14.61828
4/26/2019 12:30:00 PM,189.99,190.02,189.82,189.95,190.2462,47.54688,27.89173
4/26/2019 12:45:00 PM,189.95,190.1,189.92,189.98,190.249,48.14943,58.24467
4/26/2019 1:00:00 PM,189.98,189.99,189.86,189.89,190.2458,46.4264,56.7317
4/26/2019 1:15:00 PM,189.9,189.9,189.57,189.71,190.2374,43.10412,8.572949
4/26/2019 1:30:00 PM,189.71,189.85,189.67,189.84,190.2338,46.10375,13.48899
4/26/2019 1:45:00 PM,189.84,189.89,189.72,189.8,190.2272,45.31223,1.972746
4/26/2019 2:00:00 PM,189.81,189.91,189.81,189.83,190.2236,46.06029,12.34097
4/26/2019 2:15:00 PM,189.84,189.94,189.64,189.89,190.2192,47.60399,-21.51923
4/26/2019 2:30:00 PM,189.89,190.18,189.88,190.12,190.2176,53.14033,141.6292
4/26/2019 2:45:00 PM,190.12,190.19,190.04,190.18,190.2182,54.49122,173.9899
4/26/2019 3:00:00 PM,190.18,190.2,190.04,190.18,190.2202,55.86154,139.7823
4/26/2019 3:15:00 PM,190.18,190.46,190.16,190.33,190.2242,59.17175,189.5477
4/26/2019 3:30:00 PM,190.33,190.37,190.26,190.31,190.2366,58.54124,143.2329
4/26/2019 3:45:00 PM,190.3,190.54,190.26,190.49,190.2328,62.42157,148.6766
4/26/2019 4:00:00 PM,190.49,190.69,190.28,190.66,190.2278,65.68773,148.4585
4/29/2019 9:45:00 AM,190.65,190.93,190.6,190.76,190.2458,67.47823,164.4946
4/29/2019 10:00:00 AM,190.76,190.86,190.41,190.65,190.2582,63.54947,110.0761
4/29/2019 10:15:00 AM,190.66,190.75,190.34,190.72,190.268,64.9482,87.06173
4/29/2019 10:30:00 AM,190.72,190.88,190.67,190.81,190.2746,66.71639,113.9033
4/29/2019 10:45:00 AM,190.82,191.02,190.68,190.97,190.2862,69.64793,118.8946
4/29/2019 11:00:00 AM,190.97,191.11,190.94,190.98,190.2916,69.82671,127.5241
4/29/2019 11:15:00 AM,190.98,191.09,190.82,190.83,190.2896,63.75734,95.04916
4/29/2019 11:30:00 AM,190.84,190.92,190.77,190.88,190.2906,64.85408,71.75224
4/29/2019 11:45:00 AM,190.88,190.95,190.74,190.78,190.2932,60.88569,54.45139
4/29/2019 12:00:00 PM,190.78,190.84,190.73,190.76,190.2982,60.09358,31.02779
4/29/2019 12:15:00 PM,190.76,190.92,190.69,190.88,190.3042,63.18775,43.4116
4/29/2019 12:30:00 PM,190.87,190.98,190.86,190.95,190.3106,64.8972,84.60165
4/29/2019 12:45:00 PM,190.95,191.04,190.94,190.96,190.3192,65.14648,105.5489
4/29/2019 1:00:00 PM,190.96,191.18,190.96,191.08,190.3282,68.07337,146.8579
4/29/2019 1:15:00 PM,191.08,191.08,190.96,191.01,190.3348,64.66166,93.69112
4/29/2019 1:30:00 PM,191.01,191.07,191,191.06,190.342,65.97341,98.73605
4/29/2019 1:45:00 PM,191.06,191.11,190.88,190.9,190.3406,58.49145,34.70486
4/29/2019 2:00:00 PM,190.9,191.05,190.9,191.02,190.3442,61.97476,48.16944
4/29/2019 2:15:00 PM,191.02,191.19,191.01,191.12,190.3506,64.63747,126.2107
4/29/2019 2:30:00 PM,191.12,191.24,191.12,191.19,190.3562,66.41091,157.9492
4/29/2019 2:45:00 PM,191.19,191.32,191.15,191.29,190.3698,68.8164,164.603
4/29/2019 3:00:00 PM,191.3,191.3,191.16,191.24,190.3806,66.26161,126.3237
4/29/2019 3:15:00 PM,191.24,191.27,191.09,191.13,190.3868,60.9034,74.02843
4/29/2019 3:30:00 PM,191.12,191.14,191,191.05,190.3996,57.2758,2.862656
4/29/2019 3:45:00 PM,191.05,191.2,191.03,191.11,190.4362,59.23674,27.37392
4/29/2019 4:00:00 PM,191.1,191.13,190.85,191,190.4774,54.31461,-77.10443
4/30/2019 9:45:00 AM,189.47,189.85,189.12,189.73,190.4876,26.71471,-460.2435
4/30/2019 10:00:00 AM,189.73,189.73,189.41,189.52,190.4876,24.49803,-234.5197
4/30/2019 10:15:00 AM,189.53,189.83,189.34,189.6,190.4898,26.98377,-152.9674
4/30/2019 10:30:00 AM,189.6,189.66,189.09,189.16,190.4806,22.58054,-137.045
4/30/2019 10:45:00 AM,189.16,189.36,189.02,189.09,190.4646,21.96636,-117.1842
4/30/2019 11:00:00 AM,189.09,189.24,188.95,188.96,190.4444,20.83325,-102.4019
4/30/2019 11:15:00 AM,188.96,188.96,188.21,188.29,190.4092,16.19583,-119.813
4/30/2019 11:30:00 AM,188.29,188.66,188.22,188.44,190.3814,20.46456,-106.359
4/30/2019 11:45:00 AM,188.44,188.85,188.44,188.83,190.3582,30.39173,-79.77031
4/30/2019 12:00:00 PM,188.84,189.13,188.8,188.99,190.339,34.02973,-55.59158
4/30/2019 12:15:00 PM,189,189.28,188.96,189.28,190.325,40.13645,-32.89059
4/30/2019 12:30:00 PM,189.28,189.37,189.21,189.32,190.3136,40.9486,-10.35031
4/30/2019 12:45:00 PM,189.32,189.46,189.24,189.4,190.3074,42.62452,17.27273
4/30/2019 1:00:00 PM,189.41,189.41,189.1,189.31,190.2968,41.20745,30.88637
4/30/2019 1:15:00 PM,189.31,189.45,189.18,189.19,190.2846,39.32996,37.6237
4/30/2019 1:30:00 PM,189.19,189.3,189.11,189.11,190.2702,38.08411,21.53251
4/30/2019 1:45:00 PM,189.11,189.64,189.07,189.61,190.2646,48.96503,96.49817
4/30/2019 2:00:00 PM,189.61,189.78,189.57,189.76,190.2574,51.70684,147.304
4/30/2019 2:15:00 PM,189.77,189.8,189.56,189.62,190.2462,49.05765,116.5593
4/30/2019 2:30:00 PM,189.63,189.75,189.58,189.6,190.2346,48.6742,98.35909
4/30/2019 2:45:00 PM,189.6,189.66,189.5,189.51,190.2182,46.89657,74.10342
4/30/2019 3:00:00 PM,189.51,189.59,189.4,189.42,190.2004,45.12221,41.94681
4/30/2019 3:15:00 PM,189.42,189.54,189.34,189.37,190.178,44.12329,11.59067
4/30/2019 3:30:00 PM,189.37,189.49,189.26,189.31,190.151,42.89621,-28.89131
4/30/2019 3:45:00 PM,189.32,189.48,189.3,189.33,190.1224,43.4608,-30.30923
4/30/2019 4:00:00 PM,189.33,189.75,189.33,189.54,190.1002,49.14494,48.93939
5/1/2019 9:45:00 AM,190.77,190.86,190.45,190.63,190.0984,67.44215,339.0489
5/1/2019 10:00:00 AM,190.63,190.72,190.48,190.63,190.0948,76.53434,217.1719
5/1/2019 10:15:00 AM,190.63,191.02,190.26,190.95,190.0944,78.43802,168.3898
5/1/2019 10:30:00 AM,190.96,190.97,190.64,190.64,190.0876,72.31724,125.3764
5/1/2019 10:45:00 AM,190.64,190.79,190.54,190.65,190.084,72.39204,90.57498
5/1/2019 11:00:00 AM,190.65,190.86,190.65,190.72,190.0808,72.94352,83.62016
5/1/2019 11:15:00 AM,190.72,190.91,190.64,190.9,190.0832,74.36155,78.21615
5/1/2019 11:30:00 AM,190.9,190.95,190.79,190.86,190.0852,73.44054,72.92753
5/1/2019 11:45:00 AM,190.85,191.29,190.83,191.27,190.093,76.63546,90.2986
5/1/2019 12:00:00 PM,191.27,191.28,191.04,191.06,190.0952,71.86677,83.97243
5/1/2019 12:15:00 PM,191.06,191.13,190.92,190.97,190.0954,69.86055,67.68192
