Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 11:40,,,,,,9/3/2019 13:52,185.22,185.27,185.19,185.23,32.66516,-95.28329
9/3/2019 11:41,,,,,,9/3/2019 13:54,185.22,185.26,185.11,185.11,28.1216,-118.6926
9/3/2019 11:42,,,,,,9/3/2019 13:56,185.11,185.16,185.03,185.15,31.5395,-122.4299
9/3/2019 11:43,,,,,,9/3/2019 13:58,185.14,185.2,185.12,185.16,32.40585,-82.42113
9/3/2019 11:44,,,,,,9/3/2019 14:00,185.16,185.19,185.1,185.11,30.34033,-89.65956
9/3/2019 11:45,,,,,,9/3/2019 14:02,185.11,185.25,185.08,185.2,38.00002,-53.57299
9/3/2019 11:46,,,,,,9/3/2019 14:04,185.19,185.35,185.18,185.32,46.45524,38.52854
9/3/2019 11:47,,,,,,9/3/2019 14:06,185.33,185.39,185.23,185.3,45.34517,62.82749
9/3/2019 11:48,,,,,,9/3/2019 14:08,185.3,185.35,185.26,185.3,44.20754,68.23701
9/3/2019 11:49,,,,,,9/3/2019 14:10,185.29,185.29,185.25,185.29,43.61786,58.18604
9/3/2019 11:50,,,,,,9/3/2019 14:12,185.29,185.36,185.25,185.34,47.39291,111.8513
9/3/2019 11:51,,,,,,,,,,,,
9/3/2019 11:52,,,,,,,,,,,,
9/3/2019 11:53,,,,,,,,,,,,
9/3/2019 11:54,,,,,,,,,,,,
9/3/2019 11:55,,,,,,,,,,,,
9/3/2019 11:56,,,,,,,,,,,,
9/3/2019 11:57,,,,,,,,,,,,
9/3/2019 11:58,,,,,,,,,,,,
9/3/2019 11:59,,,,,,,,,,,,
9/3/2019 12:00,,,,,,,,,,,,
9/3/2019 12:01,,,,,,,,,,,,
9/3/2019 12:02,,,,,,,,,,,,
9/3/2019 12:03,,,,,,,,,,,,
9/3/2019 12:04,,,,,,,,,,,,
9/3/2019 12:05,,,,,,,,,,,,
9/3/2019 12:06,,,,,,,,,,,,
9/3/2019 12:07,,,,,,,,,,,,
9/3/2019 12:08,,,,,,,,,,,,
9/3/2019 12:09,,,,,,,,,,,,
9/3/2019 12:10,,,,,,,,,,,,
9/3/2019 12:11,,,,,,,,,,,,
9/3/2019 12:12,,,,,,,,,,,,
9/3/2019 12:13,,,,,,,,,,,,
9/3/2019 12:14,,,,,,,,,,,,
9/3/2019 12:15,,,,,,,,,,,,
9/3/2019 12:16,,,,,,,,,,,,
9/3/2019 12:17,,,,,,,,,,,,
9/3/2019 12:18,,,,,,,,,,,,
9/3/2019 12:19,,,,,,,,,,,,
9/3/2019 12:20,,,,,,,,,,,,
9/3/2019 12:21,,,,,,,,,,,,
9/3/2019 12:22,,,,,,,,,,,,
9/3/2019 12:23,,,,,,,,,,,,
9/3/2019 12:24,,,,,,,,,,,,
9/3/2019 12:25,,,,,,,,,,,,
9/3/2019 12:26,,,,,,,,,,,,
9/3/2019 12:27,,,,,,,,,,,,
9/3/2019 12:28,,,,,,,,,,,,
9/3/2019 12:29,,,,,,,,,,,,
9/3/2019 12:30,,,,,,,,,,,,
9/3/2019 12:31,,,,,,,,,,,,
9/3/2019 12:33,,,,,,,,,,,,
9/3/2019 12:34,,,,,,,,,,,,
9/3/2019 12:35,,,,,,,,,,,,
9/3/2019 12:36,,,,,,,,,,,,
9/3/2019 12:37,,,,,,,,,,,,
9/3/2019 12:38,,,,,,,,,,,,
9/3/2019 12:39,,,,,,,,,,,,
9/3/2019 12:40,,,,,,,,,,,,
9/3/2019 12:41,,,,,,,,,,,,
9/3/2019 12:42,,,,,,,,,,,,
9/3/2019 12:43,,,,,,,,,,,,
9/3/2019 12:44,,,,,,,,,,,,
9/3/2019 12:45,,,,,,,,,,,,
9/3/2019 12:46,,,,,,,,,,,,
9/3/2019 12:47,,,,,,,,,,,,
9/3/2019 12:48,,,,,,,,,,,,
9/3/2019 12:49,,,,,,,,,,,,
9/3/2019 12:50,,,,,,,,,,,,
9/3/2019 12:51,,,,,,,,,,,,
9/3/2019 12:52,,,,,,,,,,,,
9/3/2019 12:53,,,,,,,,,,,,
9/3/2019 12:54,,,,,,,,,,,,
9/3/2019 12:55,,,,,,,,,,,,
9/3/2019 12:56,,,,,,,,,,,,
9/3/2019 12:57,,,,,,,,,,,,
9/3/2019 12:58,,,,,,,,,,,,
9/3/2019 12:59,,,,,,,,,,,,
9/3/2019 13:00,,,,,,,,,,,,
9/3/2019 13:01,,,,,,,,,,,,
9/3/2019 13:02,,,,,,,,,,,,
9/3/2019 13:03,,,,,,,,,,,,
9/3/2019 13:04,,,,,,,,,,,,
9/3/2019 13:05,,,,,,,,,,,,
9/3/2019 13:06,,,,,,,,,,,,
9/3/2019 13:07,,,,,,,,,,,,
9/3/2019 13:08,,,,,,,,,,,,
9/3/2019 13:09,,,,,,,,,,,,
9/3/2019 13:10,,,,,,,,,,,,
9/3/2019 13:11,,,,,,,,,,,,
9/3/2019 13:12,,,,,,,,,,,,
9/3/2019 13:13,,,,,,,,,,,,
9/3/2019 13:14,,,,,,,,,,,,
9/3/2019 13:15,,,,,,,,,,,,
9/3/2019 13:16,,,,,,,,,,,,
9/3/2019 13:17,,,,,,,,,,,,
9/3/2019 13:18,,,,,,,,,,,,
9/3/2019 13:19,,,,,,,,,,,,
9/3/2019 13:20,,,,,,,,,,,,
9/3/2019 13:21,,,,,,,,,,,,
9/3/2019 13:22,,,,,,,,,,,,
9/3/2019 13:23,,,,,,,,,,,,
9/3/2019 13:24,,,,,,,,,,,,
9/3/2019 13:25,,,,,,,,,,,,
9/3/2019 13:26,,,,,,,,,,,,
9/3/2019 13:27,,,,,,,,,,,,
9/3/2019 13:28,,,,,,,,,,,,
9/3/2019 13:29,,,,,,,,,,,,
9/3/2019 13:30,,,,,,,,,,,,
9/3/2019 13:31,,,,,,,,,,,,
9/3/2019 13:32,,,,,,,,,,,,
9/3/2019 13:33,,,,,,,,,,,,
9/3/2019 13:34,,,,,,,,,,,,
9/3/2019 13:35,,,,,,,,,,,,
9/3/2019 13:36,,,,,,,,,,,,
9/3/2019 13:37,,,,,,,,,,,,
