Timestamp,Open,High,Low,Close,Rsi,Cci
3/31/2020 12:00:00 PM,1976.31,1984.31,1965.37,1976.51,62.99,90.68
3/31/2020 1:00:00 PM,1976.51,1979.73,1963.00,1972.83,61.47,74.85
3/31/2020 2:00:00 PM,1972.83,1980.06,1970.12,1979.30,63.16,90.09
3/31/2020 3:00:00 PM,1979.30,1980.70,1970.00,1973.92,60.78,81.07
3/31/2020 4:00:00 PM,1973.20,1976.97,1944.01,1949.72,51.39,-40.41
4/1/2020 10:00:00 AM,1935.02,1944.96,1919.26,1927.30,44.53,-237.90
4/1/2020 11:00:00 AM,1927.30,1934.48,1925.35,1928.79,45.05,-190.48
4/1/2020 12:00:00 PM,1928.79,1937.00,1920.68,1923.54,43.49,-155.71
4/1/2020 1:00:00 PM,1923.54,1924.14,1903.24,1907.57,39.05,-166.29
4/1/2020 2:00:00 PM,1907.57,1917.00,1905.57,1914.27,41.74,-125.21
4/1/2020 3:00:00 PM,1914.27,1917.49,1904.73,1905.52,39.30,-107.72
4/1/2020 4:00:00 PM,1905.52,1913.00,1893.00,1907.70,40.24,-100.20
4/2/2020 10:00:00 AM,1901.00,1921.94,1898.50,1913.41,42.73,-72.50
4/2/2020 11:00:00 AM,1913.41,1927.53,1907.52,1920.68,45.82,-48.12
4/2/2020 12:00:00 PM,1920.68,1922.79,1909.68,1920.02,45.58,-45.82
4/2/2020 1:00:00 PM,1920.87,1922.50,1917.00,1920.13,45.63,-32.47
4/2/2020 2:00:00 PM,1920.13,1922.20,1901.20,1905.23,40.12,-66.72
4/2/2020 3:00:00 PM,1905.23,1910.72,1890.00,1910.72,42.86,-99.23
4/2/2020 4:00:00 PM,1910.72,1920.00,1902.01,1918.83,46.74,-19.30
4/3/2020 10:00:00 AM,1911.23,1926.33,1910.12,1920.00,47.29,43.96
4/3/2020 11:00:00 AM,1920.00,1924.46,1904.11,1905.35,41.46,-29.90
4/3/2020 12:00:00 PM,1905.35,1910.29,1898.27,1901.83,40.18,-131.29
4/3/2020 1:00:00 PM,1901.83,1903.68,1895.10,1897.39,38.56,-157.65
4/3/2020 2:00:00 PM,1897.39,1900.00,1889.69,1892.56,36.82,-165.46
4/3/2020 3:00:00 PM,1892.56,1899.24,1889.15,1898.48,40.37,-117.86
4/3/2020 4:00:00 PM,1898.48,1906.95,1891.01,1906.59,44.93,-60.43
4/6/2020 10:00:00 AM,1940.98,1948.00,1930.02,1947.18,61.02,215.90
4/6/2020 11:00:00 AM,1947.84,1959.20,1940.70,1956.00,63.51,212.39
4/6/2020 12:00:00 PM,1956.00,1962.15,1954.76,1960.37,64.72,180.15
4/6/2020 1:00:00 PM,1960.61,1973.19,1959.68,1972.91,67.98,159.68
4/6/2020 2:00:00 PM,1972.91,1979.00,1970.19,1978.65,69.38,136.90
4/6/2020 3:00:00 PM,1978.65,1979.34,1970.00,1978.22,69.14,110.07
4/6/2020 4:00:00 PM,1978.22,1998.52,1975.00,1997.59,73.62,117.89
4/7/2020 10:00:00 AM,2017.20,2035.72,2011.50,2034.00,79.62,157.06
4/7/2020 11:00:00 AM,2034.00,2035.01,1997.62,2007.31,67.50,112.37
4/7/2020 12:00:00 PM,2007.31,2017.51,2002.30,2012.74,68.55,95.33
4/7/2020 1:00:00 PM,2012.74,2028.00,2012.59,2024.97,70.84,102.25
4/7/2020 2:00:00 PM,2024.97,2027.15,2015.27,2019.73,68.54,90.76
4/7/2020 3:00:00 PM,2019.50,2019.90,2008.02,2012.01,65.19,65.31
4/7/2020 4:00:00 PM,2012.01,2025.22,2006.36,2011.60,65.01,58.93
4/8/2020 10:00:00 AM,2021.49,2032.03,2011.44,2012.86,65.33,61.91
4/8/2020 11:00:00 AM,2012.86,2021.10,2011.15,2020.19,67.20,51.69
4/8/2020 12:00:00 PM,2020.31,2030.00,2016.30,2028.35,69.21,73.31
4/8/2020 1:00:00 PM,2028.35,2033.44,2023.74,2030.00,69.61,92.71
4/8/2020 2:00:00 PM,2030.00,2031.30,2021.34,2022.93,65.64,72.28
4/8/2020 3:00:00 PM,2022.93,2036.77,2021.45,2035.91,69.12,117.75
4/8/2020 4:00:00 PM,2035.91,2044.00,2030.30,2042.90,70.84,177.74
4/9/2020 10:00:00 AM,2044.30,2053.00,2039.32,2047.61,71.97,193.71
