Date,Open,High,Low,Close,Volume ,Moving Average 50,Wilder's RSI 14,Commodity Channel Index (CCI) 14
7/1/2019 10:15:00 AM,296.26,296.26,296.06,296.16,807200,875684,62.07751,42.11527
7/1/2019 10:20:00 AM,296.16,296.19,296,296.17,1048700,888292,62.17025,34.97977
7/1/2019 10:25:00 AM,296.17,296.32,295.85,295.87,988800,902830,57.6215,23.85435
7/1/2019 10:30:00 AM,295.87,295.93,295.68,295.72,786700,910534,55.43764,-3.037755
7/1/2019 10:35:00 AM,295.72,295.83,295.47,295.57,958800,922328,53.26365,-52.14653
7/1/2019 10:40:00 AM,295.57,295.87,295.56,295.8,886300,925402,56.10589,-111.7519
7/1/2019 10:45:00 AM,295.8,296.06,295.79,295.98,947800,937472,58.24641,-57.77894
7/1/2019 10:50:00 AM,295.98,296.08,295.86,295.87,633200,945166,56.43518,-48.83879
7/1/2019 10:55:00 AM,295.86,295.93,295.75,295.83,706200,953020,55.75616,-67.46356
7/1/2019 11:00:00 AM,295.82,295.82,295.66,295.73,389400,955432,54.00747,-88.34119
7/1/2019 11:05:00 AM,295.74,295.93,295.69,295.77,549900,962418,54.62037,-59.19912
7/1/2019 11:10:00 AM,295.77,295.77,295.54,295.54,551200,969950,50.45492,-106.1932
7/1/2019 11:15:00 AM,295.55,295.69,295.48,295.52,690200,981164,50.09677,-112.4179
7/1/2019 11:20:00 AM,295.52,295.72,295.48,295.63,476500,986458,52.10866,-89.68236
7/1/2019 11:25:00 AM,295.63,295.7,295.41,295.46,552400,992828,48.83227,-116.7199
7/1/2019 11:30:00 AM,295.46,295.55,295.29,295.31,472000,996598,46.07951,-156.3382
7/1/2019 11:35:00 AM,295.31,295.61,295.28,295.59,607600,1005290,51.5681,-91.20071
7/1/2019 11:40:00 AM,295.59,295.78,295.56,295.78,763800,1011902,54.92134,13.43664
7/1/2019 11:45:00 AM,295.78,295.8,295.42,295.43,549700,1014642,48.28878,-59.19075
7/1/2019 11:50:00 AM,295.44,295.55,295.31,295.41,660100,1023656,47.93276,-101.5583
7/1/2019 11:55:00 AM,295.42,295.58,295.4,295.47,547200,1029708,49.14473,-68.55873
7/1/2019 12:00:00 PM,295.47,295.51,295.4,295.44,317400,1027352,48.53638,-77.99721
7/1/2019 12:05:00 PM,295.44,295.55,295.4,295.5,1178400,1041314,49.87285,-51.73525
7/1/2019 12:10:00 PM,295.51,295.51,295.31,295.43,258900,1036948,48.2968,-88.32072
7/1/2019 12:15:00 PM,295.43,295.59,295.43,295.59,193300,1029776,52.02813,18.69944
7/1/2019 12:20:00 PM,295.58,295.59,295.41,295.41,311700,1030026,47.84508,-38.01063
7/1/2019 12:25:00 PM,295.41,295.47,295.21,295.22,531300,1030334,43.83828,-177.8879
7/1/2019 12:30:00 PM,295.21,295.25,295.14,295.24,336300,1026522,44.36613,-203.2577
7/1/2019 12:35:00 PM,295.24,295.26,295.14,295.22,304200,1019782,43.92157,-157.8524
7/1/2019 12:40:00 PM,295.22,295.3,295.1,295.11,442700,1018762,41.45918,-145.9679
7/1/2019 12:45:00 PM,295.11,295.2,295.09,295.13,279000,1015166,42.09535,-125.2662
7/1/2019 12:50:00 PM,295.13,295.18,295.05,295.1,292900,1010246,41.36986,-115.4338
7/1/2019 12:55:00 PM,295.16,295.16,294.89,294.9,533800,1005578,36.81417,-143.5867
7/1/2019 1:00:00 PM,294.9,294.91,294.63,294.7,550000,1007698,32.91172,-187.9108
7/1/2019 1:05:00 PM,294.69,294.8,294.61,294.65,450700,1005538,31.99809,-172.3007
7/1/2019 1:10:00 PM,294.65,294.98,294.63,294.94,654300,1006750,42.04391,-99.77699
7/1/2019 1:15:00 PM,294.94,294.99,294.48,294.69,1360500,1021374,36.97324,-116.3473
7/1/2019 1:20:00 PM,294.69,294.69,294.51,294.62,592100,1011628,35.67569,-120.8289
7/1/2019 1:25:00 PM,294.63,294.7,294.49,294.69,348000,1003960,38.01822,-99.47044
