Timestamp,Open,High,Low,Close,Rsi,Cci,Volume
11/9/2018 11:00:00 AM,49.71,51.05,49.52,50.78,47.22723,113.7096,2147200
11/9/2018 12:00:00 PM,50.76,51.36,50.07,51.32,49.7316,130.7583,1026800
11/9/2018 1:00:00 PM,51.32,51.48,50.68,51.22,49.26535,125.0797,770800
11/9/2018 2:00:00 PM,51.22,51.45,50.88,51.28,49.57084,114.4437,1013000
11/9/2018 3:00:00 PM,51.3,52.09,50.45,50.79,47.07771,94.61763,1351800
11/9/2018 4:00:00 PM,50.79,50.98,49.25,49.99,43.25288,45.06349,1204500
11/12/2018 10:00:00 AM,50.2,52.63,49.9,52.55,55.66573,94.89028,1828800
11/12/2018 11:00:00 AM,52.55,54.28,52.55,54.19,61.47892,148.7696,2275100
11/12/2018 12:00:00 PM,54.19,55.34,53.63,54.24,61.64406,156.889,2001000
11/12/2018 1:00:00 PM,54.24,55.13,53.63,55.08,64.40469,148.3948,907500
11/12/2018 2:00:00 PM,55.14,55.96,53.72,54.17,59.41557,125.162,760600
11/12/2018 3:00:00 PM,54.17,54.64,53.12,54.46,60.46659,85.59029,1137700
11/12/2018 4:00:00 PM,54.46,56.74,53.74,56.1,65.85229,115.7727,1968300
11/13/2018 10:00:00 AM,56.2,56.88,55.6,56.76,67.75605,124.3602,2295200
11/13/2018 11:00:00 AM,56.76,59.19,56.57,56.82,67.93109,138.9893,3424700
11/13/2018 12:00:00 PM,56.76,57,54.54,55.76,61.57192,72.30917,1428400
11/13/2018 1:00:00 PM,55.76,56.95,55.03,56.77,64.93973,80.94323,1014500
11/13/2018 2:00:00 PM,56.77,57.28,55.87,56.71,64.57765,86.3888,805100
11/13/2018 3:00:00 PM,56.71,58.3,56.56,57.9,68.34711,110.5328,1296300
11/13/2018 4:00:00 PM,57.94,58.25,55.98,56.87,62.17941,80.29652,2306300
11/14/2018 10:00:00 AM,55.07,56.32,54.94,55.68,55.90274,-3.171767,929100
11/14/2018 11:00:00 AM,55.73,57.7,55.61,57.39,61.8606,66.37435,2204100
11/14/2018 12:00:00 PM,57.48,59.64,57.45,58.74,65.79024,156.1433,1564700
11/14/2018 1:00:00 PM,58.74,60.34,58.53,60.01,69.02365,181.8351,1453300
11/14/2018 2:00:00 PM,60.01,60.89,59.12,60.52,70.2401,172.0344,1195800
11/14/2018 3:00:00 PM,60.52,61.5,58.06,58.22,58.98938,102.6626,1348400
11/14/2018 4:00:00 PM,58.22,59.84,57.09,59.02,61.31069,59.28308,1454800
11/15/2018 10:00:00 AM,60.7,61.89,60.39,61.64,67.74905,156.5922,1837800
11/15/2018 11:00:00 AM,61.64,62.9,61,61.62,67.65649,142.2159,1985100
11/15/2018 12:00:00 PM,61.6,61.81,59.04,59.81,59.70663,69.04306,1140000
11/15/2018 1:00:00 PM,59.81,60.79,59.3,60.6,61.81559,60.18921,538700
11/15/2018 2:00:00 PM,60.6,61.12,57.97,58.27,53.00394,5.082866,1247900
11/15/2018 3:00:00 PM,58.18,59.12,57.53,58.41,53.43346,-36.23472,931800
11/15/2018 4:00:00 PM,58.45,59.88,58.08,58.09,52.25779,-28.17594,1232100
11/16/2018 10:00:00 AM,59.66,60.4,57.85,57.85,51.34531,-47.25348,1228800
11/16/2018 11:00:00 AM,57.85,58.43,56.17,56.78,47.37372,-155.8953,1025600
11/16/2018 12:00:00 PM,56.78,57.54,56.57,57.25,49.23135,-136.4368,1074000
11/16/2018 1:00:00 PM,57.23,57.57,54.63,54.64,40.65021,-178.0094,1193600
11/16/2018 2:00:00 PM,54.65,56.49,54.58,55.91,45.6174,-145.9246,783100
11/16/2018 3:00:00 PM,55.86,55.9,54.23,54.4,41.20203,-142.3796,669000
11/16/2018 4:00:00 PM,54.36,54.8,53.78,54.07,40.28433,-129.8434,858400
11/19/2018 10:00:00 AM,54.14,55.01,53.46,54.51,42.13494,-107.3655,849500
11/19/2018 11:00:00 AM,54.51,56.4,54.5,54.92,43.8802,-67.32881,1245800
