Timestamp,Open,High,Low,Close,Volume
5/10/2012 0:00,1451,1491,1406,1442,95860
5/11/2012 0:00,1516,1520,1391,1483,122630
5/14/2012 0:00,1607,1662,1568,1656,139930
5/15/2012 0:00,1665,1833,1599,1819,129220
5/16/2012 0:00,1762,1961,1704,1942,139900
5/17/2012 0:00,1922,2132,1870,2132,167120
5/18/2012 0:00,2100,2487,2068,2408,178520
5/21/2012 0:00,2375,2443,1851,1856,135040
5/22/2012 0:00,1804,2110,1650,1986,131850
5/23/2012 0:00,2097,2219,1881,1921,156880
5/24/2012 0:00,1897,2101,1871,1950,147910
5/25/2012 0:00,1947,1973,1890,1910,102030
5/29/2012 0:00,1805,1869,1717,1725,115150
5/30/2012 0:00,1820,1957,1814,1957,89750
5/31/2012 0:00,1982,2189,1867,2002,171540
6/1/2012 0:00,2310,2362,2188,2347,156840
6/4/2012 0:00,2249,2409,2146,2160,131400
6/5/2012 0:00,2202,2208,2027,2062,91640
6/6/2012 0:00,1935,1965,1760,1765,98480
6/7/2012 0:00,1604,1746,1584,1718,124740
6/8/2012 0:00,1741,1760,1533,1541,107300
6/11/2012 0:00,1425,1797,1407,1785,132310
6/12/2012 0:00,1756,1881,1696,1721,189610
6/13/2012 0:00,1807,1950,1706,1892,153540
6/14/2012 0:00,1868,1925,1655,1663,172720
6/15/2012 0:00,1631,1674,1480,1518,118600
6/18/2012 0:00,1500,1525,1262,1264,178040
6/19/2012 0:00,1175,1246,1160,1209,172510
6/20/2012 0:00,1209,1300,1105,1105,263070
6/21/2012 0:00,1110,1347,1082,1343,208420
6/22/2012 0:00,1250,1294,1053,1069,214470
6/25/2012 0:00,1239,1290,1218,1260,174150
6/26/2012 0:00,1190,1289,1158,1187,182150
6/27/2012 0:00,1156,1211,1120,1208,150150
6/28/2012 0:00,1237,1278,1130,1136,202870
6/29/2012 0:00,1005,1035,976,984,179470
7/2/2012 0:00,946,964,852,855,174570
7/3/2012 0:00,843,844,790,816,94060
7/5/2012 0:00,826,893,826,874,156060
7/6/2012 0:00,923,926,851,858,169660
7/9/2012 0:00,845,885,822,838,118200
7/10/2012 0:00,815,918,790,886,235970
7/11/2012 0:00,882,911,812,826,203800
7/12/2012 0:00,872,907,804,842,234390
7/13/2012 0:00,821,821,750,751,184980
7/16/2012 0:00,745,761,713,730,113720
7/17/2012 0:00,706,746,666,674,208840
7/18/2012 0:00,681,699,653,689,152660
7/19/2012 0:00,680,711,657,657,170070
7/20/2012 0:00,696,739,679,725,193490
7/23/2012 0:00,840,892,794,819,257520
7/24/2012 0:00,819,941,817,886,271990
7/25/2012 0:00,880,944,835,864,267660
7/26/2012 0:00,760,794,731,733,182510
7/27/2012 0:00,672,710,666,690,156320
7/30/2012 0:00,681,722,663,720,166330
7/31/2012 0:00,749,763,718,756,157200
8/1/2012 0:00,730,762,708,727,284600
8/2/2012 0:00,762,779,694,694,269580
8/3/2012 0:00,644,650,601,602,191450
8/6/2012 0:00,582,588,557,572,112860
8/7/2012 0:00,554,603,546,602,132870
8/8/2012 0:00,599,607,550,551,153310
8/9/2012 0:00,560,570,534,546,146460
8/10/2012 0:00,557,565,526,527,128400
8/13/2012 0:00,532,534,498,499,140620
8/14/2012 0:00,505,556,500,554,160140
8/15/2012 0:00,556,562,528,555,138570
8/16/2012 0:00,550,570,532,533,140630
8/17/2012 0:00,525,537,495,503,159840
8/20/2012 0:00,511,529,502,505,112420
8/21/2012 0:00,493,539,487,529,217820
8/22/2012 0:00,550,560,526,538,212500
8/23/2012 0:00,544,575,541,561,209670
8/24/2012 0:00,576,577,507,514,199540
8/27/2012 0:00,507,526,498,524,147650
8/28/2012 0:00,540,545,523,542,173300
8/29/2012 0:00,538,548,518,547,144900
8/30/2012 0:00,571,581,555,570,155990
8/31/2012 0:00,551,576,525,530,222040
9/4/2012 0:00,535,554,521,523,133690
9/5/2012 0:00,519,524,490,495,160240
9/6/2012 0:00,475,475,392,392,277060
9/7/2012 0:00,377,379.9,346.1,347.2,352330
9/10/2012 0:00,358.2,388.9,336.5,386.3,537110
9/11/2012 0:00,383.5,393.4,362.7,380.6,730850
9/12/2012 0:00,365.5,384.8,354.2,359,720720
9/13/2012 0:00,359.6,371.9,302.3,307,830810
9/14/2012 0:00,295.7,332,285.1,326.8,773640
9/17/2012 0:00,339.2,339.5,321,321.7,555420
9/18/2012 0:00,326.3,332.1,302.6,305.1,580460
9/19/2012 0:00,294.3,307.3,291.9,303.4,705500
9/20/2012 0:00,308.9,318.8,297,297.5,719160
9/21/2012 0:00,297.6,303.2,285,292.6,646670
9/24/2012 0:00,299.4,302.8,280.2,284.5,623650
9/25/2012 0:00,278.6,330,278.4,328.9,893040
9/26/2012 0:00,340.5,368.7,332.1,353.7,1060000
9/27/2012 0:00,332.1,343,290.3,291.5,749800
9/28/2012 0:00,305.5,314.8,291,309.2,589300
10/1/2012 0:00,294.7,319.6,278.5,315.5,688040
10/2/2012 0:00,307.2,324.8,300.8,302.2,582990
10/3/2012 0:00,303.5,317.9,293,300.1,624030
10/4/2012 0:00,295.5,299.7,286,286.4,540710
10/5/2012 0:00,268.5,285.3,262,277.8,795820
10/8/2012 0:00,285,290.4,279,284.6,394060
10/9/2012 0:00,285.3,311.6,282.6,308.2,755890
10/10/2012 0:00,303.5,316,297.8,301.5,690360
10/11/2012 0:00,293,297.9,285.3,293.8,645250
10/12/2012 0:00,283.7,302.5,278.6,297.9,730580
10/15/2012 0:00,293.8,306.1,276,277.9,648110
10/16/2012 0:00,268.6,272.7,262.2,264.9,660530
10/17/2012 0:00,264.8,270,255,258,562000
10/18/2012 0:00,261,264.4,250.4,256.3,866720
10/19/2012 0:00,261.2,295.1,260.6,289.6,1050000
10/22/2012 0:00,287.9,305.3,281.6,282.4,815640
10/23/2012 0:00,314,334.2,310,326.5,895240
10/24/2012 0:00,315.6,334.2,313.7,329.5,708630
10/25/2012 0:00,306.1,327.9,303.3,311,799600
10/26/2012 0:00,311,326.7,300.5,309.3,699550
10/31/2012 0:00,298.5,328.2,296.2,320.7,499950
11/1/2012 0:00,315,316.5,269,269,763120
11/2/2012 0:00,262.6,284.4,259.4,281.8,926900
11/5/2012 0:00,288.9,306.8,285.6,291.7,666390
11/6/2012 0:00,287,293.1,264,270,786010
11/7/2012 0:00,284,321,280.1,313.4,1230000
11/8/2012 0:00,311,321,297,317.2,865320
11/9/2012 0:00,323.8,324.9,297.2,317,729350
11/12/2012 0:00,308.6,309.3,274.1,276,823750
11/13/2012 0:00,288.3,292,262.5,276.6,989900
11/14/2012 0:00,262.4,303.8,259.4,294.1,1120000
11/15/2012 0:00,293.8,319.3,283.7,300.5,1090000
11/16/2012 0:00,292.8,314.8,272.2,273.7,1090000
11/19/2012 0:00,253.7,254.5,225.9,226.4,1040000
11/20/2012 0:00,220.5,227.8,216.6,217.5,836350
11/21/2012 0:00,216.1,224.5,209.2,220.5,514030
11/23/2012 0:00,209.6,214.1,201.8,202,382030
11/26/2012 0:00,209.1,211.7,197.7,197.8,744610
11/27/2012 0:00,196.1,207.3,192.2,205.6,1050000
11/28/2012 0:00,213.5,222,193.3,194.7,1270000
11/29/2012 0:00,188.6,198,187,189.1,977130
11/30/2012 0:00,185.9,199.9,185.8,195.7,743560
12/3/2012 0:00,186.5,205,185.6,203.6,850710
12/4/2012 0:00,205.9,216.8,200.7,210.7,902770
12/5/2012 0:00,210.4,220.6,201.4,204.1,839760
12/6/2012 0:00,203.3,211.6,201.9,208,659960
12/7/2012 0:00,201,211,192.8,193.8,693570
12/10/2012 0:00,197,202.2,194.6,198.8,406500
12/11/2012 0:00,193.5,196.4,185.4,185.4,857170
12/12/2012 0:00,184.1,195.5,182,194.6,878130
12/13/2012 0:00,193.5,208,191.7,201.7,822030
12/14/2012 0:00,203.7,209.8,201.4,204.6,683860
12/17/2012 0:00,206.1,206.5,190,190.5,651260
12/18/2012 0:00,184,186.2,173.4,176,941530
